iter	Passed	Remaining
133	3262	21085
134	3286	21057
135	3310	21028
136	3330	20982
137	3359	20982
138	3380	20938
139	3401	20896
140	3424	20863
141	3445	20817
142	3468	20784
143	3489	20745
144	3511	20704
145	3532	20660
146	3554	20627
147	3583	20632
148	3606	20598
149	3625	20544
150	3646	20505
151	3668	20465
152	3690	20428
153	3719	20434
154	3742	20401
155	3766	20379
156	3793	20366
157	3817	20343
158	3846	20347
159	3872	20328
160	3896	20303
161	3918	20268
162	3941	20239
163	3957	20171
164	3980	20141
165	4003	20111
166	4024	20075
167	4046	20041
168	4069	20008
169	4085	19945
170	4097	19862
171	4120	19836
172	4142	19802
173	4164	19768
174	4182	19719
175	4204	19682
176	4225	19648
177	4246	19612
178	4264	19561
179	4293	19560
180	4318	19541
181	4343	19522
182	4365	19491
183	4378	19419
184	4404	19402
185	4426	19372
186	4449	19343
187	4474	19327
188	4498	19305
189	4522	19279
190	4546	19255
191	4568	19225
192	4590	19195
193	4615	19174
194	4636	19138
195	4655	19095
196	4676	19063
197	4700	19040
198	4724	19015
199	4749	18996
200	4779	18997
201	4806	18989
202	4832	18974
203	4861	18970
204	4886	18949
205	4913	18939
206	4939	18923
207	4963	18898
208	4987	18877
209	5011	18851
210	5037	18836
211	5055	18789
212	5078	18762
213	5102	18740
214	5127	18720
215	5151	18698
216	5173	18669
217	5199	18652
218	5226	18639
219	5255	18631
220	5281	18615
221	5305	18593
222	5334	18586
223	5361	18573
224	5384	18545
225	5408	18524
226	5434	18506
227	5457	18479
228	5480	18452
229	5506	18434
230	5534	18425
231	5561	18410
232	5583	18380
233	5608	18358
234	5635	18344
235	5663	18333
236	5685	18304
237	5707	18273
238	5728	18241
239	5750	18210
240	5772	18178
241	5794	18151
242	5820	18132
243	5840	18097
244	5863	18069
245	5886	18042
246	5904	17999
247	5925	17968
248	5946	17936
249	5967	17902
250	5989	17873
251	6010	17841
252	6032	17811
253	6050	17770
254	6068	17729
255	6090	17701
256	6113	17673
257	6136	17647
258	6159	17623
259	6191	17621
260	6226	17628
261	6252	17612
262	6277	17591
263	6304	17575
264	6336	17576
265	6359	17548
266	6374	17500
267	6397	17474
268	6423	17455
269	6449	17437
270	6474	17415
271	6496	17386
272	6517	17355
273	6538	17325
274	6559	17293
275	6582	17267
276	6609	17250
277	6630	17221
278	6653	17194
279	6675	17166
280	6696	17133
281	6723	17117
282	6747	17096
283	6772	17074
284	6794	17045
285	6812	17007
286	6837	16987
287	6865	16974
288	6887	16943
289	6905	16907
290	6928	16880
291	6953	16859
292	6968	16815
293	6994	16796
294	7017	16769
295	7041	16747
296	7066	16726
297	7089	16700
298	7112	16674
299	7134	16646
300	7156	16619
301	7172	16578
302	7197	16557
303	7227	16546
304	7255	16534
305	7283	16517
306	7300	16478
307	7321	16449
308	7346	16428
309	7368	16401
310	7389	16371
311	7411	16342
312	7426	16300
313	7447	16271
314	7469	16242
315	7487	16207
316	7505	16170
317	7522	16134
318	7544	16105
319	7571	16089
320	7580	16033
321	7600	16004
322	7618	15967
323	7639	15939
324	7661	15913
325	7676	15871
326	7704	15856
327	7729	15836
328	7748	15803
329	7770	15776
330	7797	15760
331	7824	15743
332	7852	15728
333	7867	15688
334	7884	15651
335	7910	15633
336	7933	15607
337	7960	15591
338	7986	15573
339	8007	15544
340	8032	15524
341	8055	15497
342	8078	15474
343	8100	15448
344	8114	15406
345	8138	15382
346	8157	15351
347	8171	15310
348	8197	15291
349	8219	15264
350	8237	15231
351	8253	15193
352	8282	15181
353	8317	15177
354	8346	15164
355	8369	15140
356	8389	15109
357	8410	15081
358	8429	15051
359	8446	15016
360	8468	14989
361	8493	14970
362	8515	14943
363	8536	14915
364	8554	14883
365	8576	14855
366	8598	14830
367	8616	14797
368	8633	14764
369	8648	14725
370	8669	14699
371	8691	14672
372	8714	14648
373	8736	14623
374	8758	14597
375	8782	14575
376	8799	14540
377	8822	14517
378	8843	14491
379	8862	14460
380	8885	14436
381	8907	14409
382	8929	14385
383	8950	14358
384	8966	14322
385	8987	14296
386	9008	14269
387	9029	14242
388	9051	14216
389	9068	14184
390	9090	14158
391	9103	14119
392	9125	14094
393	9147	14068
394	9159	14028
395	9184	14008
396	9199	13972
397	9223	13951
398	9245	13926
399	9266	13900
400	9287	13873
401	9310	13850
402	9331	13823
403	9356	13802
404	9378	13778
405	9395	13746
406	9417	13721
407	9438	13695
408	9460	13670
409	9472	13630
410	9493	13605
411	9521	13589
412	9537	13555
413	9561	13533
414	9582	13508
415	9605	13484
416	9627	13460
417	9641	13424
418	9663	13399
419	9684	13373
420	9707	13350
421	9735	13334
422	9756	13309
423	9781	13288
424	9806	13268
425	9828	13242
426	9848	13215
427	9863	13182
428	9886	13158
429	9913	13140
430	9939	13122
431	9958	13094
432	9979	13068
433	10001	13044
434	10023	13018
435	10045	12994
436	10067	12970
437	10089	12945
438	10108	12917
439	10129	12891
440	10148	12863
441	10164	12832
442	10184	12805
443	10210	12785
444	10232	12761
445	10260	12745
446	10275	12712
447	10298	12688
448	10322	12667
449	10346	12645
450	10366	12618
451	10384	12590
452	10406	12565
453	10427	12540
454	10449	12516
455	10482	12505
456	10506	12483
457	10531	12462
458	10553	12439
459	10575	12414
460	10597	12390
461	10612	12357
462	10639	12340
463	10665	12320
464	10688	12297
465	10704	12266
466	10726	12242
467	10744	12213
468	10769	12192
469	10794	12172
470	10821	12153
471	10847	12134
472	10874	12115
473	10898	12093
474	10919	12068
475	10941	12044
476	10952	12008
477	10973	11983
478	10995	11959
479	11016	11935
480	11029	11901
481	11050	11875
482	11075	11854
483	11096	11830
484	11118	11805
485	11140	11782
486	11162	11758
487	11189	11739
488	11207	11711
489	11229	11687
490	11255	11668
491	11274	11640
492	11295	11616
493	11318	11593
494	11341	11570
495	11359	11542
496	11381	11518
497	11403	11495
498	11424	11470
499	11445	11445
500	11467	11421
501	11490	11399
502	11512	11374
503	11535	11352
504	11559	11330
505	11582	11307
506	11604	11283
507	11619	11253
508	11641	11229
509	11667	11210
510	11689	11186
511	11710	11161
512	11735	11140
513	11760	11119
514	11779	11093
515	11800	11068
516	11820	11042
517	11841	11018
518	11863	10995
519	11880	10966
520	11903	10944
521	11925	10920
522	11946	10896
523	11970	10873
524	11984	10843
525	12005	10818
526	12028	10796
527	12050	10772
528	12071	10748
529	12093	10724
530	12114	10700
531	12137	10677
532	12161	10655
533	12188	10636
534	12209	10611
535	12229	10587
536	12252	10563
537	12267	10534
538	12289	10511
539	12311	10487
540	12333	10464
541	12358	10442
542	12379	10419
543	12400	10394
544	12423	10371
545	12443	10347
546	12465	10323
547	12487	10299
548	12509	10276
549	12526	10248
550	12547	10224
551	12564	10197
552	12586	10173
553	12607	10149
554	12628	10125
555	12649	10101
556	12672	10078
557	12695	10056
558	12726	10040
559	12749	10017
560	12770	9993
561	12793	9970
562	12816	9947
563	12830	9918
564	12851	9894
565	12883	9878
566	12916	9863
567	12949	9848
568	12979	9831
569	13008	9813
570	13036	9794
571	13062	9774
572	13089	9754
573	13112	9731
574	13134	9708
575	13152	9681
576	13174	9657
577	13195	9633
578	13218	9611
579	13240	9587
580	13261	9563
581	13275	9534
582	13299	9512
583	13325	9492
584	13351	9471
585	13373	9448
586	13395	9424
587	13413	9398
588	13433	9374
589	13451	9347
590	13472	9323
591	13494	9300
592	13518	9278
593	13545	9258
594	13565	9233
595	13587	9210
596	13608	9186
597	13629	9162
598	13647	9136
599	13669	9113
600	13690	9089
601	13719	9070
602	13742	9047
603	13764	9024
604	13780	8997
605	13802	8973
606	13824	8950
607	13847	8927
608	13873	8907
609	13896	8884
610	13917	8860
611	13939	8837
612	13963	8815
613	14001	8802
614	14025	8780
615	14050	8758
616	14072	8735
617	14094	8711
618	14115	8687
619	14132	8661
620	14154	8638
621	14177	8616
622	14201	8593
623	14224	8571
624	14241	8544
625	14263	8521
626	14278	8494
627	14299	8470
628	14314	8443
629	14336	8419
630	14359	8397
631	14381	8373
632	14395	8346
633	14416	8322
634	14437	8298
635	14462	8277
636	14485	8254
637	14509	8232
638	14534	8211
639	14562	8191
640	14584	8168
641	14607	8145
642	14629	8122
643	14651	8099
644	14669	8073
645	14694	8052
646	14719	8030
647	14747	8010
648	14773	7989
649	14802	7970
650	14830	7950
651	14858	7930
652	14884	7909
653	14907	7887
654	14933	7865
655	14960	7845
656	14987	7824
657	15015	7804
658	15041	7783
659	15065	7761
660	15087	7737
661	15112	7716
662	15137	7694
663	15159	7671
664	15183	7648
665	15205	7625
666	15227	7602
667	15249	7578
668	15270	7555
669	15294	7532
670	15318	7510
671	15341	7488
672	15363	7464
673	15385	7441
674	15407	7418
675	15428	7394
676	15449	7370
677	15471	7347
678	15492	7324
679	15514	7300
680	15542	7280
681	15564	7257
682	15586	7233
683	15608	7210
684	15630	7187
685	15652	7164
686	15674	7141
687	15698	7118
688	15719	7095
689	15737	7070
690	15758	7046
691	15780	7023
692	15803	7000
693	15824	6977
694	15848	6954
695	15869	6931
696	15890	6907
697	15912	6884
698	15933	6861
699	15954	6837
700	15976	6814
701	15998	6791
702	16019	6767
703	16041	6744
704	16062	6721
705	16084	6698
706	16111	6677
707	16133	6653
708	16155	6630
709	16179	6608
710	16201	6585
711	16222	6561
712	16241	6537
713	16262	6514
714	16287	6492
715	16309	6469
716	16331	6446
717	16351	6422
718	16373	6399
719	16394	6375
720	16416	6352
721	16437	6329
722	16458	6305
723	16480	6282
724	16501	6259
725	16523	6236
726	16545	6213
727	16569	6190
728	16590	6167
729	16613	6144
730	16636	6121
731	16657	6098
732	16680	6076
733	16702	6052
734	16723	6029
735	16745	6006
736	16767	5983
737	16789	5960
738	16810	5937
739	16832	5914
740	16854	5890
741	16881	5869
742	16902	5846
743	16923	5823
744	16945	5800
745	16966	5776
746	16988	5753
747	17010	5730
748	17031	5707
749	17058	5686
750	17083	5664
751	17105	5641
752	17126	5618
753	17151	5595
754	17173	5572
755	17196	5550
756	17217	5526
757	17236	5502
758	17257	5479
759	17279	5456
760	17301	5433
761	17322	5410
762	17345	5387
763	17366	5364
764	17388	5341
765	17410	5318
766	17432	5295
767	17450	5271
768	17471	5248
769	17493	5225
770	17519	5203
771	17541	5180
772	17565	5158
773	17588	5135
774	17609	5112
775	17631	5089
776	17657	5067
777	17678	5044
778	17699	5021
779	17721	4998
780	17742	4975
781	17766	4952
782	17787	4929
783	17809	4906
784	17831	4883
785	17852	4860
786	17874	4837
787	17895	4814
788	17919	4792
789	17941	4769
790	17963	4746
791	17987	4724
792	18009	4701
793	18030	4678
794	18052	4654
795	18078	4633
796	18100	4610
797	18124	4587
798	18149	4565
799	18171	4542
800	18194	4520
801	18216	4497
802	18239	4474
803	18261	4451
804	18284	4429
805	18307	4406
806	18330	4383
807	18354	4361
808	18376	4338
809	18397	4315
810	18421	4292
811	18446	4270
812	18470	4248
813	18492	4225
814	18513	4202
815	18536	4179
816	18558	4156
817	18582	4134
818	18606	4112
819	18632	4090
820	18655	4067
821	18677	4044
822	18702	4022
823	18724	3999
824	18745	3976
825	18766	3953
826	18788	3930
827	18809	3907
828	18830	3884
829	18852	3861
830	18873	3838
831	18895	3815
832	18918	3792
833	18940	3769
834	18963	3747
835	18984	3724
836	19005	3701
837	19027	3678
838	19053	3656
839	19080	3634
840	19106	3612
841	19131	3590
842	19153	3567
843	19174	3544
844	19200	3521
845	19225	3499
846	19246	3476
847	19269	3454
848	19290	3430
849	19311	3407
850	19333	3385
851	19356	3362
852	19382	3340
853	19404	3317
854	19425	3294
855	19447	3271
856	19470	3248
857	19492	3225
858	19518	3203
859	19542	3181
860	19564	3158
861	19586	3135
862	19613	3113
863	19635	3090
864	19657	3067
865	19680	3045
866	19702	3022
867	19724	2999
868	19746	2976
869	19767	2953
870	19790	2931
871	19816	2908
872	19838	2886
873	19860	2863
874	19883	2840
875	19908	2818
876	19933	2795
877	19961	2773
878	19985	2751
879	20007	2728
880	20032	2705
881	20056	2683
882	20079	2660
883	20105	2638
884	20126	2615
885	20148	2592
886	20170	2569
887	20193	2546
888	20216	2524
889	20237	2501
890	20259	2478
891	20281	2455
892	20303	2432
893	20325	2409
894	20346	2386
895	20368	2364
896	20389	2341
897	20411	2318
898	20432	2295
899	20453	2272
900	20476	2249
901	20497	2226
902	20518	2204
903	20540	2181
904	20562	2158
905	20586	2135
906	20614	2113
907	20635	2090
908	20657	2068
909	20680	2045
910	20704	2022
911	20728	2000
912	20751	1977
913	20774	1954
914	20796	1931
915	20817	1909
916	20839	1886
917	20860	1863
918	20882	1840
919	20904	1817
920	20928	1795
921	20950	1772
922	20973	1749
923	20996	1726
924	21027	1704
925	21055	1682
926	21084	1660
927	21109	1637
928	21139	1615
929	21163	1592
930	21186	1570
931	21210	1547
932	21235	1524
933	21256	1502
934	21282	1479
935	21307	1456
936	21335	1434
937	21358	1411
938	21379	1388
939	21399	1365
940	21421	1343
941	21444	1320
942	21466	1297
943	21490	1274
944	21514	1252
945	21538	1229
946	21561	1206
947	21590	1184
948	21619	1161
949	21646	1139
950	21675	1116
951	21702	1094
952	21729	1071
953	21757	1049
954	21783	1026
955	21808	1003
956	21833	981
957	21857	958
958	21881	935
959	21905	912
960	21932	890
961	21959	867
962	21983	844
963	22012	822
964	22036	799
965	22060	776
966	22084	753
967	22108	730
968	22131	708
969	22157	685
970	22179	662
971	22203	639
972	22228	616
973	22254	594
974	22277	571
975	22300	548
976	22324	525
977	22348	502
978	22370	479
979	22392	456
980	22412	434
981	22434	411
982	22456	388
983	22480	365
984	22502	342
985	22528	319
986	22551	297
987	22574	274
988	22595	251
989	22617	228
990	22639	205
991	22660	182
992	22675	159
993	22696	137
994	22718	114
995	22742	91
996	22766	68
997	22793	45
998	22814	22
999	22836	0
