iter	RMSE
561	1.913892764
562	1.908243141
563	1.908196489
564	1.905852123
565	1.905430004
566	1.902987702
567	1.900039074
568	1.899627157
569	1.899550764
570	1.897520159
571	1.893939092
572	1.892177209
573	1.892126113
574	1.890849004
575	1.890805505
576	1.889924015
577	1.889730394
578	1.887762489
579	1.886918519
580	1.885131632
581	1.885090854
582	1.884167115
583	1.882332377
584	1.880293459
585	1.879227017
586	1.879074793
587	1.87902456
588	1.878844768
589	1.87879526
590	1.875104553
591	1.873061137
592	1.87151266
593	1.869968945
594	1.86992108
595	1.868623572
596	1.868128646
597	1.867654283
598	1.867607212
599	1.867543704
600	1.866123035
601	1.865865509
602	1.865022648
603	1.864781158
604	1.864743671
605	1.864681442
606	1.862750936
607	1.858497267
608	1.857817636
609	1.856118018
610	1.856016113
611	1.852424521
612	1.851774965
613	1.851430403
614	1.850328596
615	1.850232365
616	1.850137841
617	1.848008881
618	1.847393276
619	1.847360849
620	1.846992935
621	1.846611719
622	1.845484525
623	1.840990096
624	1.840608193
625	1.840483801
626	1.840452733
627	1.839516201
628	1.83948608
629	1.837809808
630	1.837683051
631	1.836989679
632	1.836960365
633	1.835889497
634	1.834573912
635	1.833559982
636	1.831145367
637	1.82967024
638	1.827290264
639	1.827117678
640	1.82692532
641	1.823034809
642	1.822735805
643	1.821119784
644	1.821093021
645	1.819256327
646	1.819176862
647	1.815624051
648	1.815576343
649	1.815270788
650	1.814389318
651	1.813848716
652	1.813385401
653	1.809156717
654	1.807980855
655	1.807908809
656	1.803839147
657	1.80354743
658	1.803353605
659	1.803285539
660	1.803218712
661	1.803153101
662	1.802946594
663	1.799381757
664	1.797743415
665	1.796582982
666	1.796029003
667	1.79322919
668	1.793169211
669	1.791016926
670	1.78944857
671	1.788854717
672	1.787598768
673	1.787542333
674	1.787378168
675	1.786855323
676	1.784717205
677	1.783570896
678	1.782685863
679	1.782348281
680	1.779226305
681	1.778286692
682	1.77455217
683	1.774353558
684	1.77386887
685	1.773718353
686	1.772429512
687	1.770240651
688	1.769773225
689	1.769738794
690	1.768251792
691	1.765821572
692	1.765677907
693	1.763082227
694	1.763017279
695	1.762212308
696	1.761267547
697	1.760560092
698	1.760401841
699	1.757391894
700	1.757258322
701	1.756203205
702	1.755357513
703	1.754291188
704	1.754067516
705	1.753074726
706	1.752855656
707	1.752490945
708	1.752430559
709	1.752303606
710	1.751517098
711	1.750993991
712	1.75088859
713	1.749876922
714	1.748478866
715	1.747943873
716	1.747665807
717	1.747633294
718	1.747397759
719	1.747278139
720	1.746782268
721	1.746657119
722	1.745255628
723	1.745197708
724	1.744013562
725	1.743439065
726	1.742832032
727	1.742316168
728	1.742262472
729	1.74012592
730	1.739643263
731	1.739465378
732	1.73868045
733	1.738298641
734	1.738247616
735	1.736587535
736	1.736188146
737	1.735916397
738	1.734380648
739	1.734063953
740	1.73347664
741	1.732717132
742	1.732264546
743	1.73160045
744	1.730647845
745	1.729722797
746	1.729603263
747	1.729431038
748	1.728554573
749	1.727159857
750	1.727122723
751	1.727017608
752	1.726915647
753	1.726529088
754	1.724671875
755	1.724459819
756	1.724398902
757	1.724299047
758	1.723363519
759	1.721798753
760	1.719969733
761	1.719727637
762	1.719279839
763	1.718644285
764	1.717668041
765	1.717052468
766	1.716845826
767	1.716749765
768	1.716183532
769	1.715824944
770	1.715709465
771	1.71544113
772	1.715056815
773	1.7119375
774	1.709666995
775	1.709614254
776	1.708787743
777	1.707089568
778	1.707058718
779	1.705755167
780	1.705343458
781	1.704739091
782	1.703392317
783	1.702992518
784	1.702032708
785	1.701121417
786	1.700503685
787	1.699523866
788	1.698157925
789	1.695932884
790	1.69566346
791	1.694984022
792	1.694557626
793	1.694472135
794	1.69393162
795	1.692342655
796	1.69180214
797	1.690911282
798	1.690413666
799	1.689722291
800	1.689379115
801	1.689053258
802	1.688562822
803	1.687749126
804	1.68702654
805	1.686753045
806	1.685224493
807	1.684990103
808	1.683792873
809	1.683444278
810	1.683326163
811	1.682589593
812	1.681812622
813	1.681056883
814	1.680465482
815	1.679434283
816	1.679363027
817	1.677413023
818	1.676550597
819	1.675368922
820	1.67466738
821	1.674532375
822	1.673583039
823	1.672520044
824	1.672442914
825	1.671673525
826	1.671136756
827	1.670654916
828	1.669941314
829	1.669741322
830	1.669087461
831	1.669000741
832	1.668934549
833	1.668739451
834	1.667212039
835	1.666303213
836	1.66603105
837	1.663295365
838	1.662697648
839	1.661714458
840	1.65932535
841	1.658910947
842	1.657471548
843	1.657263702
844	1.656460737
845	1.654728894
846	1.654268938
847	1.653754389
848	1.653421556
849	1.650634533
850	1.650448462
851	1.65029466
852	1.649260175
853	1.648883972
854	1.648464006
855	1.646268517
856	1.645362749
857	1.64434211
858	1.644172434
859	1.643651094
860	1.640679893
861	1.639984297
862	1.635525603
863	1.635057514
864	1.634708002
865	1.633486549
866	1.632301604
867	1.63171853
868	1.631476667
869	1.631073364
870	1.630615308
871	1.629239779
872	1.628861094
873	1.627749114
874	1.627067079
875	1.626048834
876	1.625781917
877	1.625453475
878	1.624594135
879	1.624204953
880	1.623277728
881	1.62256723
882	1.622194123
883	1.621007993
884	1.620655646
885	1.620626011
886	1.619883911
887	1.618587556
888	1.618361183
889	1.618092668
890	1.611491795
891	1.610782369
892	1.610374756
893	1.610224308
894	1.609349463
895	1.609008407
896	1.605956205
897	1.605647542
898	1.60397117
899	1.602997845
900	1.602822738
901	1.601322907
902	1.600597388
903	1.600294643
904	1.599981739
905	1.599511604
906	1.59941782
907	1.598846652
908	1.598206775
909	1.596782199
910	1.596027484
911	1.59574616
912	1.59477305
913	1.594274142
914	1.593885538
915	1.592704502
916	1.592270672
917	1.591943799
918	1.591491236
919	1.590903768
920	1.590480485
921	1.590184477
922	1.589694682
923	1.588269142
924	1.588073819
925	1.58787444
926	1.587598077
927	1.586351398
928	1.585624478
929	1.585260179
930	1.585251377
931	1.584215645
932	1.583721216
933	1.583615318
934	1.583292049
935	1.583191564
936	1.583033589
937	1.582387917
938	1.581397529
939	1.581026266
940	1.578021187
941	1.577946121
942	1.577745942
943	1.575118651
944	1.57404948
945	1.572972386
946	1.571541436
947	1.571282485
948	1.571001049
949	1.570370336
950	1.570287089
951	1.56930636
952	1.569229775
953	1.56905379
954	1.568431785
955	1.568278489
956	1.567858998
957	1.566550308
958	1.566089403
959	1.565862333
960	1.565217728
961	1.565163372
962	1.564952742
963	1.564773544
964	1.564618695
965	1.563921721
966	1.563842856
967	1.563788549
968	1.563526272
969	1.563036596
970	1.56299693
971	1.560184251
972	1.55960593
973	1.559584344
974	1.559022594
975	1.558831381
976	1.558735108
977	1.557923421
978	1.557101233
979	1.556757186
980	1.556056655
981	1.555801433
982	1.555347644
983	1.555014875
984	1.554414282
985	1.55413307
986	1.553905749
987	1.551291385
988	1.550107995
989	1.549629365
990	1.547672177
991	1.54672381
992	1.546704263
993	1.546293489
994	1.546248515
995	1.546096785
996	1.545640949
997	1.545357343
998	1.545270592
999	1.544487165
